"","Description","NES","p.adjust","core_enrichment"
"GO:0008324","cation transmembrane transporter activity",-2.20849849840478,3.05373134328358e-09,"3766/3708/3759/347051/6263/6558/6261/123041/123606/23446/83733/9033/64849/3786/783/79815/57185/477/117155/781/54805/6511/8514/6324/90134/773/1346/55799/9254/85414/2905/6506/126755/131096/3763/3765/777/6529/259232/55532/10242/10396/4948/6539/481/221074/491/6540/30819/56660/25769/7222/8911/2904/3787/27133/55800/6534/57582/2902/23416/53828/63895/10369/115584/51555/6327/7881/140803/55117/80036/2903/6546/285175/7781/492/6262/3775/6326/348980/116443/27012/774/6543/3747/140679/57468/57030/57282/3760/6616/10368"
"GO:0015318","inorganic molecular entity transmembrane transporter activity",-2.16885483421943,3.05373134328358e-09,"9016/162514/94015/10479/7439/79905/7782/51606/2743/81539/9725/3737/3766/3708/3759/347051/6263/6558/6261/123041/123606/83733/9033/64849/3786/783/79815/11095/57185/477/117155/1183/781/54805/6511/8514/6324/90134/773/1346/55799/9254/85414/2905/22802/6506/126755/131096/3763/6563/3765/777/6529/259232/55532/10242/2556/10396/6539/481/221074/491/6540/30819/56923/56660/2567/25769/7222/2562/8911/2904/3787/27133/55800/6534/57582/2902/23416/53828/63895/10369/115584/51555/6327/8001/7881/140803/203859/55117/80036/121601/2903/6546/285175/2563/7781/2557/492/6262/3775/6326/348980/116443/27012/774/2555/6543/2558/3747/140679/2565/57468/57030/57282/3760/6616/10368"
"GO:0098662","inorganic cation transmembrane transport",-2.08480357112628,3.05373134328358e-09,"3766/3708/3759/6263/6558/6261/123041/123606/83733/9033/9472/3786/783/79815/57185/477/117155/1183/781/3306/54805/8514/65268/286097/261729/6324/90134/773/3249/1346/55799/6622/9254/2905/57628/57520/3208/126755/131096/3763/274/3765/777/6529/259232/55532/10242/3792/2257/6539/481/5354/221074/491/84502/6540/30819/56660/25769/7222/8911/2904/3787/27133/55800/6534/57582/2902/23416/53828/1812/845/10369/825/6327/2258/7881/140803/4986/55117/80036/288/2903/6546/388662/7781/492/6262/3775/6326/348980/116443/27012/774/5999/287/6543/3747/3356/57468/57030/57282/3760/6616/10368"
"GO:0016072","rRNA metabolic process",3.14770850922613,3.92715630297207e-09,"7157/55226/55720/57602/6201/1663/705/54555/57647/9136/284119/85395/54663/9775/2091/79039/57418/55505/29997/6223/79922/28987/54606/6597/23212/51547/9092/115939/3692/23481/55646/51154/84365/64425/26156/5591/6209/8602/10360/29777/23246/4141/10248/88745/92856"
"GO:0004930","G protein-coupled receptor activity",-2.29761756467649,3.92715630297207e-09,"57537/1902/81491/148/89894/1132/5468/6785/64805/135924/2861/259285/11251/118442/390260/54329/120776/286365/23620/346517/6096/577/1128/2838/2550/391192/283297/4935/120775/56923/127066/391190/5746/7433/2915/4995/127074/11255/4886/1812/2849/3350/391195/2830/4986/2913/8549/10888/2917/26246/84109/3354/2845/391191/2911/127059/3356/59350"
"GO:0015267","channel activity",-2.19153054322629,4.00011252468951e-09,"6324/90134/773/55799/9254/2905/22802/126755/131096/3763/6563/3765/777/259232/10242/2556/30819/56923/56660/2567/25769/7222/2562/8911/2904/3787/27133/55800/57582/2902/23416/53828/63895/10369/51555/6327/8001/7881/140803/203859/80036/121601/2903/285175/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/2558/3747/2565/57468/10804/3760/6616/10368"
"GO:0022803","passive transmembrane transporter activity",-2.19153054322629,4.00011252468951e-09,"6324/90134/773/55799/9254/2905/22802/126755/131096/3763/6563/3765/777/259232/10242/2556/30819/56923/56660/2567/25769/7222/2562/8911/2904/3787/27133/55800/57582/2902/23416/53828/63895/10369/51555/6327/8001/7881/140803/203859/80036/121601/2903/285175/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/2558/3747/2565/57468/10804/3760/6616/10368"
"GO:1902495","transmembrane transporter complex",-2.25570717950448,4.65882840776076e-09,"9472/3786/783/477/117155/20/781/3306/8514/134957/286097/729956/6324/773/1741/55799/9254/2905/57628/126755/3763/777/10242/2556/481/30819/2567/7222/2562/8911/2904/3787/55800/2902/53828/845/10369/6327/8001/7881/26047/2903/285175/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/2558/3747/2565/3760/118427/10368"
"GO:0007346","regulation of mitotic cell cycle",2.5516898175373,5.06625520642976e-09,"1956/9212/9700/7465/144455/4609/90381/7157/995/1978/11065/9787/6790/1026/5347/9319/4288/891/1031/983/699/1063/157313/4582/81620/51512/4998/146956/3280/11130/113130/604/10783/26271/23363/1104/1613/10459/2146/1019/10385/641/351/1869/23476/4041/990/1981/9735/10950/25959/80198"
"GO:0000228","nuclear chromosome",2.98258693849247,5.43794045043326e-09,"8968/8355/332/3725/55388/8358/8352/8356/8354/8368/5347/8359/5424/4998/8361/8353/10609/1104/8350/8914/29893/5425/4172/5888/51659/4174/641/8366/23476/3014/222229/8360/25855/86/3619/10856/4176"
"GO:1990351","transporter complex",-2.27011756298493,5.43794045043326e-09,"477/117155/20/781/3306/8514/134957/286097/729956/6324/773/1741/55799/9254/2905/23120/57628/126755/3763/777/10242/2556/10396/481/30819/2567/7222/2562/8911/2904/3787/55800/2902/53828/845/10369/6327/8001/7881/26047/2903/285175/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/51761/2558/3747/2565/3760/118427/10368"
"GO:0005244","voltage-gated ion channel activity",-2.43384300690602,5.51412632278335e-09,"3786/783/117155/1183/781/8514/6324/90134/773/55799/9254/2905/126755/131096/3763/3765/777/259232/30819/56660/8911/2904/3787/27133/55800/57582/2902/23416/10369/6327/7881/2903/3775/6326/348980/116443/27012/774/3747/3760/6616/10368"
"GO:0022832","voltage-gated channel activity",-2.43384300690602,5.51412632278335e-09,"3786/783/117155/1183/781/8514/6324/90134/773/55799/9254/2905/126755/131096/3763/3765/777/259232/30819/56660/8911/2904/3787/27133/55800/57582/2902/23416/10369/6327/7881/2903/3775/6326/348980/116443/27012/774/3747/3760/6616/10368"
"GO:0005216","ion channel activity",-2.22013608518719,5.51412632278335e-09,"6324/90134/773/55799/9254/2905/22802/126755/131096/3763/3765/777/259232/10242/2556/30819/56923/56660/2567/25769/7222/2562/8911/2904/3787/27133/55800/57582/2902/23416/53828/63895/10369/51555/6327/8001/7881/140803/203859/80036/121601/2903/285175/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/2558/3747/2565/57468/3760/6616/10368"
"GO:0016079","synaptic vesicle exocytosis",-2.49758618513307,5.79455199008025e-09,"8867/148/320/783/23025/112755/134957/107/6812/8447/9066/6622/5864/6855/93664/26059/9783/5579/8448/6861/127833/6804/143425/1812/63908/27445/9699/10815/116443/8618/3356/5582/6860/22999/440279/6616/6857/10814"
"GO:0007186","G protein-coupled receptor signaling pathway",-2.02818879350338,6.9267912884934e-09,"57537/333/1902/29767/81491/123041/108/148/2775/89894/5567/1132/112609/94235/5468/5332/64805/8601/135924/5140/2861/2770/6014/259285/408/11251/118442/9456/107/11249/111/390260/54329/120776/286365/6622/23620/54550/346517/8526/6096/386617/8644/6855/577/1128/2838/5138/11069/2550/391192/283297/1607/6900/4935/9162/120775/56923/127066/391190/6750/5746/7433/2915/4995/127074/11255/2774/4886/1812/2849/1646/3350/391195/8001/2830/26033/4986/2913/8549/7432/10888/2917/23349/9699/26246/6866/401190/9890/84109/1113/3354/51764/5999/6863/2845/391191/2911/127059/57528/3356/59350/815/9607"
"GO:0007088","regulation of mitotic nuclear division",3.38869723068394,7.48980272182544e-09,"9212/9700/995/9787/6790/5347/9319/4288/891/699/1063/157313/81620/11130/26271/23363/1104/1613/10459"
"GO:0044306","neuron projection terminus",-2.46813622306993,7.77350186747639e-09,"6622/2571/5864/6506/4915/6855/1128/274/5579/6620/1393/8927/2902/4986/6623/22848/6546/1006/10815/793/6543/29993/3747/140679/5582/440279/57282/6857/10814"
"GO:0031497","chromatin assembly",2.91372654680741,8.82593734989673e-09,"8970/8348/8968/8346/8355/3009/8358/8352/8356/55355/3007/8354/8342/7157/8368/3006/8345/8359/8344/8341/8361/8353/3018/11339/8343/6662/8350/83743/2146/3017/8366/3148/3008/3014/1786/8360"
"GO:0006338","chromatin remodeling",2.82554630722692,8.82593734989673e-09,"8970/8348/8968/8346/8355/3009/8358/8352/4609/8356/55355/3007/8354/8342/8368/3006/8345/8359/3159/8344/8341/8361/8353/3018/11339/8343/6662/8350/83743/3017/8366/3148/3008/23476/54815/60/3014/8360/86"
"GO:0098542","defense response to other organism",2.46807903426719,1.06157889588521e-08,"5320/8970/6362/6364/5266/4057/5806/8685/8346/5054/602/10383/54210/23601/80329/10538/4609/330/7157/7431/80149/2634/84034/2633/6472/7425/11117/26472/3556/1054/57817/8344/7791/4261/3958/55647/84166/8343/23166/9020/3107/1613/2597/7132/684/3654/1969/929/4239/23580/71"
"GO:0099240","intrinsic component of synaptic membrane",-2.36856731021949,1.09774040715932e-08,"64084/107/729956/9066/27020/6506/1272/2045/1128/114798/3765/6529/2556/2550/491/6900/2567/2915/27255/6804/57497/1812/145581/10369/4986/2913/401190/2903/9890/6546/2563/53942/2557/492/6326/116443/2555/2558/3356/3760/10368"
"GO:0034702","ion channel complex",-2.25757498073714,1.14293948099212e-08,"3759/6263/6261/9033/9472/3786/783/117155/781/3306/8514/134957/286097/729956/6324/773/1741/55799/9254/2905/57628/126755/3763/777/10242/2556/30819/2567/7222/2562/8911/2904/3787/55800/2902/845/10369/6327/8001/7881/26047/2903/285175/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/2558/3747/2565/3760/118427/10368"
"GO:0046982","protein heterodimerization activity",2.82122928081034,1.30759243789938e-08,"8970/8348/8968/8346/8355/8969/8335/8358/8352/8332/8336/8356/8354/8342/7157/8368/8345/85235/1647/6790/8359/6929/8344/5034/8341/3675/8361/8353/3018/8343/8553/10178/1104/7171/8350/3654/317772/581/3017/7169/8366"
"GO:0023061","signal release",-2.19358326330842,1.58583953494494e-08,"5799/6844/23409/84258/26281/8867/148/320/5468/783/818/9378/23025/5798/25924/112755/134957/107/111/5532/6812/8447/5950/9066/6622/5864/6855/93664/26059/11069/2550/9783/5579/8224/8448/1393/79772/6861/127833/11255/6804/143425/1812/63908/3350/4986/6623/7432/27445/9699/130399/10815/1113/116443/57586/8618/140679/3356/6854/5582/6860/22999/440279/6616/6857/7447/10814/815/9607"
"GO:0034703","cation channel complex",-2.37087116071779,1.7879135755162e-08,"3759/6263/6261/9033/9472/3786/783/117155/781/3306/8514/286097/729956/6324/773/1741/55799/9254/2905/57628/126755/3763/777/10242/30819/7222/8911/2904/3787/55800/2902/845/10369/6327/7881/26047/2903/285175/6262/3775/6326/348980/116443/27012/774/3747/3760/118427/10368"
"GO:0010948","negative regulation of cell cycle process",2.71625311521175,2.4041356569884e-08,"3976/9212/9700/7465/144455/90381/7157/1026/5347/9319/891/983/699/9232/1063/4582/81620/51512/4998/146956/22809/11130/604/26271/8914/10459/2146/10385/641/1869/3014/990/9735/25959/80198"
"GO:0030198","extracellular matrix organization",2.61697560430216,2.81334738544005e-08,"10631/4316/1281/5806/1277/3381/4327/4318/602/4015/10630/165/1282/4060/871/255743/1284/56999/4323/60681/2006/11117/3037/7837/1302/79709/3915/3912/4017/50509/285590/1290/84695/10609/6662/7132/10516/4239/351/4054/8985/10549/4791/30001/3913/1307"
"GO:0043062","extracellular structure organization",2.61697560430216,2.81334738544005e-08,"10631/4316/1281/5806/1277/3381/4327/4318/602/4015/10630/165/1282/4060/871/255743/1284/56999/4323/60681/2006/11117/3037/7837/1302/79709/3915/3912/4017/50509/285590/1290/84695/10609/6662/7132/10516/4239/351/4054/8985/10549/4791/30001/3913/1307"
"GO:0045229","external encapsulating structure organization",2.61697560430216,2.81334738544005e-08,"10631/4316/1281/5806/1277/3381/4327/4318/602/4015/10630/165/1282/4060/871/255743/1284/56999/4323/60681/2006/11117/3037/7837/1302/79709/3915/3912/4017/50509/285590/1290/84695/10609/6662/7132/10516/4239/351/4054/8985/10549/4791/30001/3913/1307"
"GO:0009617","response to bacterium",2.65978111122315,2.8852736315177e-08,"5320/8970/2921/133/6364/5266/4057/8346/5054/602/54210/6648/2920/7431/1268/80149/56999/2634/84034/342979/22904/7425/11117/5914/57817/8344/5836/8343/6915/23166/7132/3654/1969/929/7855/1019/79155/114769/567/3148/79792/6464/8754/5970/718/10318/7494/8347/85363/10392/4851/4792/824/207/10270/10616/6223"
"GO:0034470","ncRNA processing",2.72539621947729,3.83345259403314e-08,"283120/1956/7157/80149/55226/55720/57602/6201/705/54555/84705/57647/9136/85395/4234/54663/6774/9775/3028/79042/2091/79039/57418/55505/29997/6223/55621/79922/28987/54606/23212/51547/9092/51593/115939/23587/3692/23481/55646/51154/84365/26156/9612/126789/5591/6209/8602/10360/29777/23246/10248/88745/92856/55039/142940/54059/10200/81627/54901/158234"
"GO:0004888","transmembrane signaling receptor activity",-2.01490635088637,3.83345259403314e-08,"5796/57537/1902/81491/9033/148/89894/1132/2066/5468/6785/2674/64805/135924/2861/259285/65078/11251/2123/118442/10507/8633/390260/54329/120776/286365/23620/346517/2905/3897/6096/4915/2045/577/1128/2838/2051/2556/90249/3815/2675/2550/391192/283297/2065/4935/120775/56923/127066/391190/2567/11122/5746/7433/2562/2915/2904/4995/127074/11255/2902/4886/1812/2849/9499/3350/391195/8001/2830/4986/2913/8549/10888/2917/26246/130399/2903/2563/84109/2557/3354/116443/25928/2555/6967/2845/391191/2911/2558/127059/2565/3356/59350"
"GO:0007611","learning or memory",-2.22342984238653,3.89212788883977e-08,"29767/8867/5577/7143/80863/10411/23542/9378/477/4130/107/729956/5532/27020/4915/577/8301/6529/10396/3815/2334/56924/6900/5590/84502/22849/25769/1393/2915/50944/2904/2902/814/1812/2258/10716/4986/4900/7432/57144/26047/5923/2903/1620/793/6326/6543/2558/3356/57468/1996/5582/6860/338811/6616"
"GO:0017157","regulation of exocytosis",-2.32796001073899,4.96263440349535e-08,"376267/6844/4905/84258/148/320/783/8941/112755/134957/107/6812/8447/9066/6622/5864/6855/93664/11069/9783/5579/9515/8448/8911/6861/127833/6804/143425/1812/5414/5865/11141/203190/27445/9699/29091/10815/116443/57586/115827/8618/3356/5582/6860/6857/7447/10814"
"GO:1901987","regulation of cell cycle phase transition",2.56514988012803,5.33702665052411e-08,"1956/9212/9700/7465/56892/144455/90381/7157/995/11065/9787/6790/1026/5347/9319/891/1031/983/699/1063/81610/4582/81620/51512/4998/146956/22809/11130/113130/10783/26271/6909/8914/10459/10926/2146/1019/10385/641/351/1869/23476/3014/990/1981/9735/25959/80198"
"GO:0048167","regulation of synaptic plasticity",-2.26897261317613,5.81166583203622e-08,"1816/23154/6844/3766/57537/7143/80863/816/9145/10858/4130/107/729956/5532/6812/9066/6622/2905/27020/5864/4915/6855/9148/26059/3815/9783/6900/5590/84502/22849/25769/2915/79772/2904/2902/1812/4900/9699/5923/2903/152330/793/6543/5582/6860/22999/440279/57282/6616/10814/815"
"GO:0044770","cell cycle phase transition",2.37971979983485,6.15647636929573e-08,"1956/9212/9700/7465/56892/144455/10763/4609/128239/90381/7157/995/1978/2305/11065/9787/6790/1026/9133/5347/9319/891/1031/10460/983/586/699/1063/81610/4582/81620/51512/4998/146956/22809/890/11130/113130/27338/10783/26271/6909/1104/8914/10459/10926/2146/1019/10385/641/351/26524/1869/23476/1033"
"GO:0001503","ossification",2.41538999457222,6.70022056713858e-08,"1956/4057/25884/2201/1277/6320/9902/3381/4318/4015/4192/3371/3488/23601/6781/6474/255743/25937/56975/4323/115908/22904/7291/1192/182/7130/6608/6591/9260/1290/8994/1291/26271/1052/6662/4665/7059/7171/1969"
"GO:0098563","intrinsic component of synaptic vesicle membrane",-2.48240653988855,7.04070125935828e-08,"5864/6855/22987/6804/143425/5865/57084/4986/388662/7781/2555/115827/140679/6860/57030/6857/114569"
"GO:0045087","innate immune response",2.48778282861884,7.81269496717396e-08,"8970/6362/6364/5266/4057/5806/8685/8346/10383/54210/23601/80329/4609/330/7157/7431/2634/2633/6472/26472/3556/1054/8344/7791/4261/3958/55647/84166/8343/3107/1613/2597/684/3654/929/4239/23580/71/716/3148/79792/837/55210/5970/718/661/10155/2534/8347/85363/10392/8772"
"GO:0043679","axon terminus",-2.46517753113579,8.43511636729321e-08,"6622/2571/5864/4915/6855/1128/274/5579/6620/1393/2902/4986/6623/22848/6546/1006/10815/793/6543/29993/3747/140679/5582/440279/57282/10814"
"GO:0001525","angiogenesis",2.42517447099445,8.86332095178966e-08,"7422/133/1116/4327/5054/11082/4192/51129/3725/51330/1282/8038/302/144455/3162/1284/3678/80149/56999/27286/1647/2316/84034/4323/3339/8828/7291/11117/3099/7127/182/2049/2050/4017/290/1464/25865/6915/5230/23166/57381/1969/7855/56005/71/8862/8829/23554/3315/51564/64855/4627/23509/6464/10253/4854"
"GO:0006364","rRNA processing",2.98420032896672,9.10155496739389e-08,"55226/55720/57602/6201/705/54555/57647/9136/85395/54663/9775/2091/79039/57418/55505/29997/6223/79922/28987/54606/23212/51547/9092/115939/3692/23481/55646/51154/84365/26156/5591/6209/8602/10360/29777/23246/10248/88745/92856"
"GO:0034765","regulation of ion transmembrane transport",-2.12595033903934,9.25523646011102e-08,"80863/9472/3786/23542/5243/783/477/117155/781/3306/8514/65268/9456/729956/6324/90134/773/55799/6622/9254/57628/57520/3208/126755/131096/3763/274/3765/777/259232/3792/2257/481/5354/84502/30819/56660/1393/2915/8911/50944/3787/27133/55800/23416/53828/1812/845/10369/825/6327/2258/7881/4986/288/5923/6546/6262/6326/27012/774/5999/287/3747/3760/10368"
"GO:0000075","cell cycle checkpoint signaling",3.10781468041087,1.15037096382477e-07,"9212/90381/7157/1026/5347/9319/891/983/699/1063/4582/81620/51512/4998/146956/11130/8914/10459/641/1869/3014/990/9735/80198/4085/79968"
"GO:0051983","regulation of chromosome segregation",3.2082416770072,1.24747695876234e-07,"9212/9700/11065/9787/5347/9319/4288/891/10460/699/9232/1063/157313/81620/11004/11130/10783/26271/10459"
"GO:0030658","transport vesicle membrane",-2.24530710376783,1.45111390554951e-07,"23025/5798/762/24141/83988/9066/6622/5864/6855/274/273/9162/8224/8448/8927/79772/6861/22987/127833/6804/143425/5865/57084/4986/4900/1211/388662/7781/2555/6843/115827/140679/6854/6860/440279/57030/132204/2572/6857/114569"
"GO:0005261","cation channel activity",-2.20738783967247,1.45111390554951e-07,"3766/3708/3759/6263/6558/6261/123041/9033/3786/783/117155/781/8514/6324/90134/773/55799/9254/2905/126755/131096/3763/3765/777/259232/10242/30819/56660/25769/7222/8911/2904/3787/27133/55800/57582/2902/23416/53828/63895/10369/51555/6327/7881/140803/80036/2903/285175/6262/3775/6326/348980/116443/27012/774/3747/57468/3760/6616/10368"
"GO:0150034","distal axon",-2.17286564049045,1.46066267472768e-07,"57447/23025/8941/4133/5798/85300/25791/65078/24141/8633/27124/1826/6622/81551/3897/2571/5864/4915/6855/1128/3800/274/26059/5579/6620/1393/2902/2258/4986/6623/140767/23046/22848/4747/5923/6546/1006/10815/793/11075/6543/29993/3747/140679/1996/5582/440279/57282/6616/10814"
"GO:0050890","cognition",-2.17910014920171,1.49658022207149e-07,"29767/8867/5577/7143/80863/10411/23542/9378/477/4130/107/729956/5532/27020/4915/577/1128/8301/6529/10396/3815/2334/56924/6900/5590/84502/22849/25769/1393/2915/50944/2904/11255/2902/814/1812/2258/10716/4986/4900/7432/57144/26047/5923/2903/1620/793/6326/6543/2558/3356/57468/1996/5582/6860/338811/6616"
"GO:0015837","amine transport",-2.43466980685442,1.53005268184138e-07,"6812/9066/6622/5864/6529/2550/6861/127833/11255/6804/143425/1812/5865/4986/6623/7432/2917/1113/5999/57586/3356/6860/6857/9607"
"GO:0051952","regulation of amine transport",-2.43466980685442,1.53005268184138e-07,"6812/9066/6622/5864/6529/2550/6861/127833/11255/6804/143425/1812/5865/4986/6623/7432/2917/1113/5999/57586/3356/6860/6857/9607"
"GO:0006281","DNA repair",2.43456190139454,1.88708381161827e-07,"1956/90381/7157/29128/2305/1647/9319/983/7291/9232/1054/10721/5424/146956/3978/113130/10293/10635/8914/10459/5425/4172/5888/51659/1663/4174/641/3148/3835/9907/60/3014/55257/2139/5984/5429/86/7468/80198/10856/10155/4176/11232/4175/9401/5886/85456/6749/29997/4968/5982/5531/51548/201254/51547/4221/11284/56949/4173/9985"
"GO:0022843","voltage-gated cation channel activity",-2.37647651147345,1.94084224677897e-07,"3766/3759/6261/3786/783/781/8514/90134/773/55799/9254/2905/126755/131096/3763/3765/777/30819/8911/2904/3787/27133/57582/2902/23416/10369/7881/2903/3775/348980/116443/27012/774/3747/3760/6616/10368"
"GO:0006813","potassium ion transport",-2.22475244455126,1.97150961050521e-07,"6844/4905/3766/3759/6558/123041/9033/9472/3786/477/8514/65268/90134/3249/57628/126755/131096/3763/274/3765/259232/10242/3792/481/30819/56660/25769/3787/27133/57582/23416/53828/1812/845/7881/4986/7432/288/3775/348980/27012/5999/287/3747/3356/57468/3760/6616"
"GO:0045786","negative regulation of cell cycle",2.50854909804182,2.1142447926575e-07,"3976/9212/9700/7465/144455/90381/7157/1026/5347/9319/891/1031/983/699/9232/1063/4582/81620/51512/4998/146956/22809/11130/604/26271/8914/10459/2146/10385/641/26524/1869/3014/990/9735/10950/25959/90313/80198/1021/4085"
"GO:0099699","integral component of synaptic membrane",-2.30835732432999,2.46200576936035e-07,"64084/107/729956/9066/27020/6506/2045/1128/114798/3765/6529/2556/2550/491/2567/2915/6804/57497/1812/145581/10369/4986/2913/2903/9890/6546/2563/2557/492/6326/116443/2555/2558/3356/3760/10368"
"GO:0051588","regulation of neurotransmitter transport",-2.41215065901483,2.98022261706026e-07,"148/320/783/477/112755/134957/107/2824/6812/6622/5864/6855/9783/5579/79772/6804/1812/5865/6623/10815/116443/3356/5582/6860/22999/6857/10814/815"
"GO:0015844","monoamine transport",-2.41856228621401,2.99309897709149e-07,"2824/9066/6622/5864/2550/6861/127833/11255/6804/143425/1812/5865/3350/4986/6623/7432/1113/57586/3356/6860/6857/9607"
"GO:1901988","negative regulation of cell cycle phase transition",2.72519594952974,3.00679506277207e-07,"9212/7465/144455/90381/7157/1026/5347/9319/891/983/699/1063/4582/81620/51512/4998/146956/22809/11130/26271/8914/10459/2146/10385/641/1869/3014/990/9735/25959/80198/4085/79968/29997/10263/835/60672"
"GO:0030285","integral component of synaptic vesicle membrane",-2.45181926130074,3.00679506277207e-07,"22987/6804/143425/57084/4986/388662/7781/2555/140679/6860/57030/6857/114569"
"GO:0007093","mitotic cell cycle checkpoint signaling",3.03091898629227,3.20114511287805e-07,"9212/90381/7157/1026/5347/9319/891/983/699/1063/4582/81620/51512/4998/146956/11130/10459/641/990/9735/80198/4085"
"GO:0071345","cellular response to cytokine stimulus",2.23793540581564,3.54437241701493e-07,"8970/6362/2921/6364/50615/1277/1116/4015/55504/23529/3383/4609/2920/330/255743/7157/7431/80149/2634/342979/2633/4501/8828/22904/4605/3099/3037/7837/9180/3556/57817/5034/3280/7791/55647/9945/84166/10293/6662/1613/2597/7132/3654/1809/83483/4502/23580/1019/3676/11156/79155/71/4046/114769"
"GO:1903530","regulation of secretion by cell",-2.06830572411716,3.57388634353965e-07,"25924/112755/134957/107/111/5532/6812/8447/5950/9066/6622/5864/6855/80725/93664/11069/2550/9783/5579/9515/8448/1393/79772/8911/6861/127833/11255/6804/143425/1812/5414/5865/11141/3350/203190/4986/6623/7432/2917/27445/9699/130399/29091/10815/1113/116443/57586/115827/8618/3356/5582/6860/22999/6616/6857/7447/10814/815/9607"
"GO:0006310","DNA recombination",2.62588805789305,3.63311823512865e-07,"3009/23529/10538/3007/3006/9319/6929/10721/146956/604/10635/8914/10459/29893/4172/5888/51659/4174/3838/641/3148/3008/10189/9907/60/3014/55257/86/7468/80198/10856/4176/4175/9401/3005/5531/51548/201254/3329/4173/9985"
"GO:0030594","neurotransmitter receptor activity",-2.37255462925971,3.63311823512865e-07,"2905/1128/2556/2550/2567/2562/2915/2904/11255/2902/1812/3350/8001/2903/2563/2557/3354/116443/2555/2911/2558/2565/3356"
"GO:0051098","regulation of binding",2.42547430894092,4.32183439241091e-07,"6588/3976/9212/4318/602/4015/57761/3725/302/10763/4609/3162/55355/6790/1026/3955/5347/115908/7291/81620/1054/7262/5914/6608/3280/6281/4487/56963/5329/10459/581/3676/1663/8829/114769/351/567/3148/1869/64855"
"GO:0098982","GABA-ergic synapse",-2.40976750088866,5.11424473761831e-07,"27020/114798/26059/6529/2556/2550/491/2567/8927/1812/145581/27445/388662/2563/53942/2557/492/793/2555/2558/140679"
"GO:0044772","mitotic cell cycle phase transition",2.32887382720975,5.11424473761831e-07,"1956/9212/9700/7465/144455/10763/4609/128239/90381/7157/995/1978/2305/11065/9787/6790/1026/9133/5347/9319/891/1031/10460/983/586/699/1063/4582/81620/51512/4998/890/11130/113130/27338/10783/26271/1104/10459/10926/2146/1019/10385/641/351/26524/1869/23476/1033"
"GO:0006954","inflammatory response",2.28222586998097,6.60424438847911e-07,"283120/6288/5320/6362/2921/133/6364/5806/1116/4318/5054/4192/54210/3725/6382/3162/2920/330/1268/80149/5265/3339/22904/9180/3556/7076/57817/7130/9332/6608/284207/7791/84695/4261/604/6915/23166/7132/1969/929/2146/5764/79155/351/3148/79792/3956/23476"
"GO:0001501","skeletal system development",2.32566085855252,7.45923533397874e-07,"2778/4057/25884/2201/1281/1277/3236/1116/4318/4015/4192/7004/302/6781/6474/871/7157/56975/4323/2202/7291/157506/3037/1302/7076/5914/2121/4017/6591/285590/1290/23516/4487/6662/4665/7059/5125/1969"
"GO:1901990","regulation of mitotic cell cycle phase transition",2.43000319051958,7.93892346789587e-07,"1956/9212/9700/7465/144455/90381/7157/995/11065/9787/6790/1026/5347/9319/891/1031/983/699/1063/4582/81620/51512/4998/11130/113130/10783/26271/10459/2146/1019/10385/641/351/1869/23476/990/1981/9735/25959"
"GO:0051046","regulation of secretion",-2.03639679353774,7.93892346789587e-07,"25924/112755/134957/107/111/5532/6812/8447/5950/9066/6622/5864/6855/80725/93664/6529/11069/2550/2065/9783/5579/9515/8448/1393/79772/8911/6861/127833/11255/6804/143425/1812/5414/5865/11141/3350/203190/4986/6623/7432/2917/27445/9699/130399/29091/10815/1113/116443/57586/115827/8618/3356/5582/6860/22999/6616/6857/7447/10814/815/9607"
"GO:0051937","catecholamine transport",-2.40251348066091,8.78464320737602e-07,"9066/6622/5864/2550/6861/127833/11255/6804/143425/1812/5865/4986/6623/7432/1113/57586/3356/6860/6857/9607"
"GO:0060078","regulation of postsynaptic membrane potential",-2.32614426551839,9.00956878598241e-07,"6622/2905/1128/2556/2550/5590/2567/2915/50944/2904/2902/6804/8001/9699/401190/2903/2563/56853/2557/116443/5999/2555/6543/2911/2558/2565/22999"
"GO:0017156","calcium-ion regulated exocytosis",-2.37244056552404,1.0672793474939e-06,"23025/8941/112755/5532/6812/8447/9066/5864/93664/11069/9783/8448/8911/6861/127833/6804/143425/9699/57586/8618/6854/6860/22999/440279/6857"
"GO:0050000","chromosome localization",3.12687357632775,1.21086677438107e-06,"9212/9787/891/1063/81610/81620/11004/81930/3833/83540/55143/113130/4000/3835/84722/3619/79643"
"GO:1901991","negative regulation of mitotic cell cycle phase transition",2.75853462561284,1.2624092347031e-06,"9212/7465/144455/90381/7157/1026/5347/9319/891/983/699/1063/4582/81620/51512/4998/11130/26271/10459/2146/10385/641/990/9735/25959/4085"
"GO:0033044","regulation of chromosome organization",2.54815170356542,1.30006852132577e-06,"9212/9700/23397/4609/64151/11065/9787/5347/9319/891/10460/699/9232/1063/81620/55226/11130/113130/10783/26271/10459/5570/1663/990/1786/9735/86/10856/10155/4085/908"
