ID	adj.P.Val	P.Value	t	B	logFC	Gene	SPOT_ID
HS.124623	4.17E-02	1.11E-02	2.601186	-3.26189	0.06616068	HS.124623	
B3GALT4	4.17E-02	1.11E-02	2.601042	-3.26223	0.09611164	B3GALT4	
MSLNL	4.17E-02	1.11E-02	2.600739	-3.26295	0.04849913	MSLNL	
HS.99472	4.17E-02	1.11E-02	2.600612	-3.26325	0.19547056	HS.99472	
CSNK1G3	4.17E-02	1.11E-02	-2.600593	-3.26329	-0.1969686	CSNK1G3	
LOC642403	4.17E-02	1.11E-02	2.600571	-3.26334	0.02669489	LOC642403	
LOC730101	4.17E-02	1.11E-02	-2.600488	-3.26354	-0.07093579	LOC730101	
HCRTR2	4.18E-02	1.12E-02	-2.600032	-3.26461	-0.04157583	HCRTR2	
LOC647212	4.18E-02	1.12E-02	-2.59985	-3.26504	-0.03712503	LOC647212	
CCDC49	4.18E-02	1.12E-02	2.599632	-3.26556	0.10999114	CCDC49	
LOC645783	4.18E-02	1.12E-02	-2.599545	-3.26576	-0.03782743	LOC645783	
HS.566890	4.18E-02	1.12E-02	2.599314	-3.26631	0.14396665	HS.566890	
LOC650111	4.18E-02	1.12E-02	2.599296	-3.26635	0.04666802	LOC650111	
LOC153561	4.19E-02	1.12E-02	2.598492	-3.26825	0.21957363	LOC153561	
LOC729298	4.19E-02	1.12E-02	-2.598346	-3.26859	-0.09168835	LOC729298	
LOC645133	4.19E-02	1.12E-02	2.598074	-3.26923	0.08043166	LOC645133	
OR7A17	4.19E-02	1.12E-02	2.597954	-3.26952	0.03611415	OR7A17	
FAM163B	4.19E-02	1.12E-02	2.597911	-3.26962	0.032671	FAM163B	
GEMIN7	4.19E-02	1.12E-02	2.597899	-3.26965	0.05459868	GEMIN7	
COMTD1	4.19E-02	1.12E-02	2.597867	-3.26972	0.13658275	COMTD1	
SNX26	4.20E-02	1.12E-02	2.597475	-3.27064	0.17608401	SNX26	
QDPR	4.20E-02	1.12E-02	2.597388	-3.27085	0.23434464	QDPR	
ELOVL3	4.20E-02	1.12E-02	-2.597379	-3.27087	-0.03510446	ELOVL3	
NCOA2	4.20E-02	1.13E-02	-2.597005	-3.27175	-0.06937602	NCOA2	
HS.548146	4.21E-02	1.13E-02	-2.596332	-3.27334	-0.07690249	HS.548146	
CEP70	4.22E-02	1.13E-02	2.595726	-3.27477	0.1228314	CEP70	
LOC100134412	4.22E-02	1.13E-02	2.595411	-3.27551	0.08398068	LOC100134412	
HS.525400	4.22E-02	1.13E-02	2.595338	-3.27568	0.07008769	HS.525400	
FSTL3	4.22E-02	1.13E-02	2.595333	-3.27569	0.19837359	FSTL3	
HS.442504	4.22E-02	1.13E-02	2.59532	-3.27572	0.11253087	HS.442504	
BTRC	4.22E-02	1.13E-02	-2.594716	-3.27715	-0.12566134	BTRC	
LOC653764	4.22E-02	1.13E-02	2.594693	-3.2772	0.23792472	LOC653764	
MIA	4.23E-02	1.13E-02	2.594342	-3.27803	0.05720122	MIA	
LOC652615	4.23E-02	1.13E-02	-2.59376	-3.2794	-0.07269133	LOC652615	
LOC646853	4.23E-02	1.13E-02	2.593758	-3.2794	0.07084043	LOC646853	
HS.121144	4.23E-02	1.13E-02	2.593752	-3.27942	0.03393919	HS.121144	
HILS1	4.23E-02	1.14E-02	2.593644	-3.27967	0.04113426	HILS1	
SENP5	4.24E-02	1.14E-02	-2.593161	-3.28081	-0.10212217	SENP5	
FRG2C	4.24E-02	1.14E-02	-2.593061	-3.28105	-0.04061223	FRG2C	
GYS1	4.24E-02	1.14E-02	-2.592962	-3.28128	-0.05348215	GYS1	
PAF1	4.24E-02	1.14E-02	2.592937	-3.28134	0.15470877	PAF1	
TMEM203	4.24E-02	1.14E-02	-2.592866	-3.28151	-0.12123073	TMEM203	
LOC100134436	4.24E-02	1.14E-02	2.592773	-3.28172	0.11748595	LOC100134436	
LOC646200	4.24E-02	1.14E-02	2.592474	-3.28243	0.14877875	LOC646200	
NMI	4.24E-02	1.14E-02	2.592463	-3.28245	0.12591326	NMI	
LOC730382	4.24E-02	1.14E-02	2.592416	-3.28256	0.21884085	LOC730382	
TSEN34	4.25E-02	1.14E-02	2.592029	-3.28347	0.12053045	TSEN34	
LOC100131810	4.25E-02	1.14E-02	2.591967	-3.28362	0.04315456	LOC100131810	
LOC646976	4.25E-02	1.14E-02	-2.591508	-3.2847	-0.03095639	LOC646976	
HOM-TES-103	4.25E-02	1.14E-02	-2.591324	-3.28513	-0.04933182	HOM-TES-103	
NANP	4.26E-02	1.14E-02	2.590875	-3.28619	0.06108478	NANP	
DKK1	4.26E-02	1.14E-02	-2.590767	-3.28644	-0.07966427	DKK1	
CRYAB	4.26E-02	1.14E-02	2.590755	-3.28647	0.39751852	CRYAB	
NCRNA00092	4.26E-02	1.14E-02	2.590643	-3.28674	0.25981439	NCRNA00092	
TTTY19	4.27E-02	1.15E-02	2.590044	-3.28815	0.02883041	TTTY19	
HS.439363	4.27E-02	1.15E-02	-2.58974	-3.28886	-0.0902678	HS.439363	
HS.545397	4.27E-02	1.15E-02	2.589514	-3.28939	0.04670027	HS.545397	
FLJ22639	4.28E-02	1.15E-02	2.589095	-3.29038	0.1137815	FLJ22639	
FTSJ2	4.28E-02	1.15E-02	2.588743	-3.29121	0.11311905	FTSJ2	
HFM1	4.28E-02	1.15E-02	-2.588712	-3.29128	-0.03999991	HFM1	
LOC653808	4.28E-02	1.15E-02	2.58865	-3.29142	0.03293889	LOC653808	
LOC441864	4.28E-02	1.15E-02	-2.588213	-3.29245	-0.03951349	LOC441864	
SLC38A8	4.28E-02	1.15E-02	-2.588151	-3.2926	-0.06251768	SLC38A8	
FAM108C1	4.28E-02	1.15E-02	2.588117	-3.29268	0.20987102	FAM108C1	
LOC641743	4.28E-02	1.15E-02	2.588105	-3.29271	0.03213553	LOC641743	
TMEM140	4.28E-02	1.15E-02	2.587937	-3.2931	0.16780542	TMEM140	
PRAMEF5	4.29E-02	1.15E-02	-2.58769	-3.29368	-0.02565608	PRAMEF5	
ATP2C1	4.29E-02	1.16E-02	-2.586987	-3.29533	-0.19903335	ATP2C1	
AHCTF1	4.30E-02	1.16E-02	-2.586658	-3.2961	-0.12667247	AHCTF1	
BCL2L15	4.30E-02	1.16E-02	-2.586608	-3.29622	-0.01932797	BCL2L15	
CYP2C18	4.30E-02	1.16E-02	-2.58644	-3.29662	-0.02618351	CYP2C18	
HS.545821	4.30E-02	1.16E-02	2.586304	-3.29694	0.05100411	HS.545821	
MAP1LC3C	4.30E-02	1.16E-02	2.58616	-3.29728	0.04796805	MAP1LC3C	
LOC645146	4.30E-02	1.16E-02	-2.585928	-3.29782	-0.12135697	LOC645146	
LOC729387	4.30E-02	1.16E-02	-2.585885	-3.29792	-0.04409859	LOC729387	
LCE1F	4.30E-02	1.16E-02	2.585863	-3.29797	0.02885367	LCE1F	
FAM65B	4.31E-02	1.16E-02	-2.585312	-3.29927	-0.10209428	FAM65B	
LOC649951	4.33E-02	1.17E-02	-2.58386	-3.30268	-0.06872261	LOC649951	
LOC100131705	4.33E-02	1.17E-02	-2.583651	-3.30317	-0.03887163	LOC100131705	
ANKLE2	4.33E-02	1.17E-02	-2.583405	-3.30375	-0.15028038	ANKLE2	
POU2AF1	4.33E-02	1.17E-02	-2.583267	-3.30407	-0.07110199	POU2AF1	
LOC654109	4.33E-02	1.17E-02	2.582853	-3.30504	0.07524359	LOC654109	
AGPAT2	4.34E-02	1.17E-02	2.582258	-3.30644	0.06050619	AGPAT2	
ANAPC2	4.34E-02	1.17E-02	-2.582253	-3.30645	-0.03448785	ANAPC2	
HS.542408	4.34E-02	1.17E-02	2.582181	-3.30662	0.03351289	HS.542408	
TMEM90A	4.34E-02	1.17E-02	2.582169	-3.30665	0.05120059	TMEM90A	
STARD13	4.34E-02	1.17E-02	2.581998	-3.30705	0.13634564	STARD13	
LOC647346	4.34E-02	1.17E-02	-2.58197	-3.30711	-0.14996486	LOC647346	
LOC650922	4.34E-02	1.17E-02	-2.581858	-3.30738	-0.05104224	LOC650922	
LOC100129722	4.34E-02	1.17E-02	2.581816	-3.30748	0.03351628	LOC100129722	
MIR1289-1	4.34E-02	1.17E-02	2.581771	-3.30758	0.06261951	MIR1289-1	
C16ORF54	4.34E-02	1.17E-02	2.581564	-3.30806	0.05954461	C16ORF54	
LOC643662	4.35E-02	1.17E-02	-2.581302	-3.30868	-0.02852778	LOC643662	
LOC284276	4.35E-02	1.17E-02	2.580822	-3.30981	0.03771768	LOC284276	
DAD1L	4.35E-02	1.17E-02	2.580723	-3.31004	0.03020573	DAD1L	
LOC648604	4.36E-02	1.18E-02	-2.580121	-3.31145	-0.03395095	LOC648604	
CHIC1	4.36E-02	1.18E-02	-2.580005	-3.31172	-0.05162873	CHIC1	
LOC541469	4.36E-02	1.18E-02	2.579808	-3.31218	0.02983307	LOC541469	
KRTAP5-7	4.36E-02	1.18E-02	-2.579746	-3.31233	-0.02682677	KRTAP5-7	
SLC1A1	4.36E-02	1.18E-02	-2.579715	-3.3124	-0.22153551	SLC1A1	
CARM1	4.36E-02	1.18E-02	2.579712	-3.31241	0.19617211	CARM1	
PLCB2	4.36E-02	1.18E-02	2.579505	-3.31289	0.1631531	PLCB2	
NBPF10	4.36E-02	1.18E-02	2.579475	-3.31296	0.38435511	NBPF10	
TTC17	4.36E-02	1.18E-02	2.579394	-3.31315	0.18069487	TTC17	
TXK	4.37E-02	1.18E-02	-2.579124	-3.31379	-0.03199698	TXK	
FEM1B	4.37E-02	1.18E-02	-2.579014	-3.31405	-0.05795278	FEM1B	
TYW1	4.37E-02	1.18E-02	-2.578947	-3.3142	-0.09364839	TYW1	
KRI1	4.37E-02	1.18E-02	-2.578852	-3.31442	-0.09167001	KRI1	
AKR1D1	4.37E-02	1.18E-02	2.578677	-3.31483	0.14777095	AKR1D1	
LOC642456	4.37E-02	1.18E-02	2.578666	-3.31486	0.07504684	LOC642456	
GTF2A2	4.37E-02	1.18E-02	-2.578598	-3.31502	-0.17794575	GTF2A2	
MNAT1	4.37E-02	1.18E-02	-2.578264	-3.3158	-0.1837007	MNAT1	
FADS2	4.37E-02	1.18E-02	-2.578219	-3.31591	-0.0926056	FADS2	
ZMPSTE24	4.37E-02	1.18E-02	2.578153	-3.31606	0.15805204	ZMPSTE24	
LOC643721	4.37E-02	1.18E-02	2.578038	-3.31633	0.03449256	LOC643721	
KIR3DL1	4.38E-02	1.19E-02	-2.57731	-3.31804	-0.03397239	KIR3DL1	
DNAJC2	4.38E-02	1.19E-02	2.577005	-3.31875	0.05976974	DNAJC2	
SIGLEC7	4.38E-02	1.19E-02	2.577003	-3.31876	0.03636374	SIGLEC7	
UBE2S	4.39E-02	1.19E-02	2.576738	-3.31938	0.02991916	UBE2S	
ARPC1A	4.39E-02	1.19E-02	-2.57672	-3.31942	-0.1615932	ARPC1A	
SRL	4.39E-02	1.19E-02	2.57656	-3.31979	0.11850702	SRL	
HS.544256	4.39E-02	1.19E-02	2.576364	-3.32025	0.0402698	HS.544256	
HS.544806	4.39E-02	1.19E-02	2.576226	-3.32058	0.05155283	HS.544806	
USMG5	4.39E-02	1.19E-02	-2.576222	-3.32059	-0.26781311	USMG5	
IDI2	4.39E-02	1.19E-02	-2.575952	-3.32122	-0.04915931	IDI2	
REP15	4.39E-02	1.19E-02	2.575903	-3.32133	0.07291378	REP15	
SKAP1	4.40E-02	1.19E-02	2.575619	-3.322	0.01895954	SKAP1	
LOC649956	4.40E-02	1.19E-02	-2.575497	-3.32228	-0.03705057	LOC649956	
HS.174794	4.40E-02	1.19E-02	2.575282	-3.32279	0.04902948	HS.174794	
N4BP3	4.40E-02	1.19E-02	-2.575174	-3.32304	-0.04144761	N4BP3	
ODF3L1	4.40E-02	1.19E-02	-2.574941	-3.32358	-0.0599452	ODF3L1	
DOK2	4.41E-02	1.19E-02	2.574606	-3.32437	0.02843427	DOK2	
GNMT	4.41E-02	1.19E-02	-2.574404	-3.32484	-0.04324694	GNMT	
HS.574759	4.41E-02	1.20E-02	2.574163	-3.32541	0.06421617	HS.574759	
MRPL55	4.41E-02	1.20E-02	-2.573957	-3.32589	-0.15236661	MRPL55	
SYT12	4.41E-02	1.20E-02	-2.573704	-3.32648	-0.10333335	SYT12	
HCST	4.42E-02	1.20E-02	2.573494	-3.32697	0.27891835	HCST	
LRP3	4.42E-02	1.20E-02	2.573366	-3.32727	0.27577893	LRP3	
LOC728498	4.42E-02	1.20E-02	2.573261	-3.32752	0.02126843	LOC728498	
HS.58423	4.42E-02	1.20E-02	2.572961	-3.32822	0.06179148	HS.58423	
PMS1	4.43E-02	1.20E-02	-2.572496	-3.32931	-0.16208347	PMS1	
HS.583250	4.43E-02	1.20E-02	-2.572265	-3.32985	-0.0793555	HS.583250	
LOC642743	4.43E-02	1.20E-02	2.572222	-3.32995	0.02925553	LOC642743	
LOC729839	4.43E-02	1.20E-02	2.572182	-3.33004	0.03776932	LOC729839	
MLLT3	4.43E-02	1.20E-02	2.572154	-3.33011	0.08614886	MLLT3	
CEMP1	4.43E-02	1.20E-02	2.572131	-3.33016	0.04828994	CEMP1	
PRR20D	4.43E-02	1.20E-02	2.572101	-3.33023	0.04715174	PRR20D	
KIAA0100	4.43E-02	1.20E-02	2.57208	-3.33028	0.0850816	KIAA0100	
KTELC1	4.43E-02	1.20E-02	2.571816	-3.3309	0.16615582	KTELC1	
LOC729948	4.43E-02	1.20E-02	2.571308	-3.33208	0.02349714	LOC729948	
COPA	4.44E-02	1.21E-02	-2.570905	-3.33303	-0.19925846	COPA	
LOC197350	4.44E-02	1.21E-02	2.570842	-3.33317	0.03901485	LOC197350	
NICN1	4.44E-02	1.21E-02	-2.570613	-3.33371	-0.17386356	NICN1	
C22ORF40	4.44E-02	1.21E-02	-2.570425	-3.33415	-0.03893302	C22ORF40	
NUDT3	4.44E-02	1.21E-02	2.570302	-3.33443	0.22979578	NUDT3	
GUSBL1	4.45E-02	1.21E-02	2.569897	-3.33538	0.22809111	GUSBL1	
SLC17A2	4.45E-02	1.21E-02	2.569833	-3.33553	0.0393122	SLC17A2	
GART	4.45E-02	1.21E-02	-2.569622	-3.33602	-0.06784035	GART	
IGHMBP2	4.45E-02	1.21E-02	-2.569509	-3.33629	-0.05676083	IGHMBP2	
LOC653383	4.45E-02	1.21E-02	-2.569332	-3.3367	-0.08234308	LOC653383	
DSN1	4.45E-02	1.21E-02	-2.569307	-3.33676	-0.0991453	DSN1	
HDGFL1	4.45E-02	1.21E-02	-2.569277	-3.33683	-0.02003767	HDGFL1	
HDX	4.45E-02	1.21E-02	2.569261	-3.33687	0.04160066	HDX	
STGC3	4.45E-02	1.21E-02	2.56923	-3.33694	0.07531539	STGC3	
MSX2	4.45E-02	1.21E-02	2.569096	-3.33725	0.05869569	MSX2	
LOC729679	4.45E-02	1.21E-02	2.569031	-3.33741	0.24200376	LOC729679	
HS.121392	4.45E-02	1.21E-02	-2.568965	-3.33756	-0.05438467	HS.121392	
LOC100130291	4.45E-02	1.21E-02	2.568903	-3.33771	0.07925253	LOC100130291	
LOC100129379	4.46E-02	1.21E-02	2.568683	-3.33822	0.30903143	LOC100129379	
GMEB1	4.46E-02	1.21E-02	2.568406	-3.33887	0.08305735	GMEB1	
LOC100128202	4.46E-02	1.21E-02	2.568306	-3.3391	0.07122689	LOC100128202	
TRPV1	4.46E-02	1.21E-02	2.568164	-3.33943	0.03230024	TRPV1	
KCNA7	4.46E-02	1.22E-02	2.568068	-3.33965	0.04731185	KCNA7	
ZP3	4.46E-02	1.22E-02	2.567947	-3.33994	0.28435901	ZP3	
DPY30	4.46E-02	1.22E-02	-2.567784	-3.34032	-0.20141217	DPY30	
FGF18	4.46E-02	1.22E-02	2.567774	-3.34034	0.07649978	FGF18	
CYCSL1	4.46E-02	1.22E-02	2.567747	-3.3404	0.20945343	CYCSL1	
LOC150568	4.46E-02	1.22E-02	-2.567689	-3.34054	-0.09967656	LOC150568	
LOC643396	4.46E-02	1.22E-02	2.567461	-3.34107	0.08746143	LOC643396	
LSM5	4.47E-02	1.22E-02	-2.567317	-3.34141	-0.11290653	LSM5	
NAE1	4.47E-02	1.22E-02	-2.567071	-3.34198	-0.13268106	NAE1	
LOC647541	4.47E-02	1.22E-02	-2.56677	-3.34269	-0.03477905	LOC647541	
LOC646127	4.48E-02	1.22E-02	2.566318	-3.34374	0.04023629	LOC646127	
TLX1	4.48E-02	1.22E-02	2.566073	-3.34431	0.03108592	TLX1	
SNORA10	4.48E-02	1.22E-02	2.566035	-3.3444	0.06395905	SNORA10	
KLF9	4.48E-02	1.22E-02	-2.565745	-3.34508	-0.24785064	KLF9	
SFTPD	4.48E-02	1.22E-02	-2.56571	-3.34516	-0.18103638	SFTPD	
RNF170	4.48E-02	1.22E-02	-2.56564	-3.34532	-0.14685325	RNF170	
KIAA1984	4.48E-02	1.22E-02	-2.565389	-3.34591	-0.08173789	KIAA1984	
SEC24C	4.48E-02	1.22E-02	2.565291	-3.34614	0.14564751	SEC24C	
RBBP8	4.48E-02	1.22E-02	2.56526	-3.34621	0.09849807	RBBP8	
PTPRE	4.48E-02	1.22E-02	-2.565237	-3.34626	-0.1610619	PTPRE	
HS.542575	4.49E-02	1.22E-02	2.565129	-3.34652	0.03593674	HS.542575	
CFL2	4.49E-02	1.23E-02	-2.564905	-3.34704	-0.05930456	CFL2	
ACYP1	4.49E-02	1.23E-02	-2.564811	-3.34726	-0.20485679	ACYP1	
EVI5L	4.49E-02	1.23E-02	2.564768	-3.34736	0.16709149	EVI5L	
LOC150759	4.49E-02	1.23E-02	2.564706	-3.3475	0.08351839	LOC150759	
PDLIM4	4.49E-02	1.23E-02	2.564491	-3.348	0.08069066	PDLIM4	
DGKQ	4.49E-02	1.23E-02	-2.564377	-3.34827	-0.15971869	DGKQ	
HS.565250	4.49E-02	1.23E-02	2.564156	-3.34879	0.13504681	HS.565250	
LOC646938	4.49E-02	1.23E-02	2.564098	-3.34892	0.05443235	LOC646938	
ZNF394	4.49E-02	1.23E-02	2.564074	-3.34898	0.26742974	ZNF394	
ZNF793	4.49E-02	1.23E-02	2.564037	-3.34906	0.0556326	ZNF793	
DDEF2	4.49E-02	1.23E-02	2.563938	-3.34929	0.12912628	DDEF2	
HS.201858	4.49E-02	1.23E-02	-2.563857	-3.34948	-0.03393627	HS.201858	
AKTIP	4.49E-02	1.23E-02	-2.563849	-3.3495	-0.13420864	AKTIP	
TRIM41	4.50E-02	1.23E-02	2.563627	-3.35002	0.22529685	TRIM41	
LOC100129119	4.50E-02	1.23E-02	2.563525	-3.35026	0.04071495	LOC100129119	
EIF1	4.50E-02	1.23E-02	-2.563441	-3.35045	-0.19326017	EIF1	
DLX3	4.50E-02	1.23E-02	2.563407	-3.35053	0.04538947	DLX3	
NUBP1	4.50E-02	1.23E-02	2.56312	-3.3512	0.09715048	NUBP1	
HS.564154	4.50E-02	1.23E-02	2.563002	-3.35148	0.05303931	HS.564154	
LOC650296	4.50E-02	1.23E-02	2.562752	-3.35206	0.04138808	LOC650296	
OR2M5	4.50E-02	1.23E-02	-2.562724	-3.35212	-0.05234738	OR2M5	
LOC729870	4.51E-02	1.23E-02	-2.562227	-3.35328	-0.03330334	LOC729870	
KCNJ9	4.51E-02	1.23E-02	-2.562085	-3.35361	-0.05099419	KCNJ9	
CAMK2N1	4.51E-02	1.23E-02	-2.561988	-3.35384	-0.25861406	CAMK2N1	
HS.447508	4.51E-02	1.24E-02	2.561947	-3.35393	0.07288274	HS.447508	
LOC392364	4.51E-02	1.24E-02	-2.561905	-3.35403	-0.05257709	LOC392364	
SETD3	4.51E-02	1.24E-02	2.561696	-3.35452	0.15803903	SETD3	
LOC729236	4.51E-02	1.24E-02	2.561671	-3.35458	0.20970632	LOC729236	
SOSTDC1	4.51E-02	1.24E-02	-2.561619	-3.3547	-0.19603487	SOSTDC1	
AVP	4.51E-02	1.24E-02	-2.561587	-3.35477	-0.04735655	AVP	
HS.571297	4.51E-02	1.24E-02	2.561526	-3.35492	0.06625581	HS.571297	
PDCD11	4.51E-02	1.24E-02	2.561494	-3.35499	0.07460966	PDCD11	
DSCR6	4.51E-02	1.24E-02	2.561359	-3.35531	0.06696872	DSCR6	
FZD10	4.51E-02	1.24E-02	2.561347	-3.35533	0.04813178	FZD10	
DNAI1	4.51E-02	1.24E-02	2.561154	-3.35578	0.12934824	DNAI1	
OTOP3	4.52E-02	1.24E-02	2.561058	-3.35601	0.04458416	OTOP3	
TMEM45B	4.52E-02	1.24E-02	2.56081	-3.35659	0.06831443	TMEM45B	
GPR172A	4.52E-02	1.24E-02	2.560248	-3.3579	0.15708988	GPR172A	
HIT-40	4.52E-02	1.24E-02	2.560214	-3.35797	0.10953803	HIT-40	
UCN3	4.52E-02	1.24E-02	-2.560178	-3.35806	-0.0563053	UCN3	
MT1IP	4.52E-02	1.24E-02	2.560108	-3.35822	0.03247742	MT1IP	
SCARNA8	4.52E-02	1.24E-02	-2.560069	-3.35831	-0.04727332	SCARNA8	
TLR2	4.52E-02	1.24E-02	2.560005	-3.35846	0.04704704	TLR2	
LOC285016	4.52E-02	1.24E-02	-2.559938	-3.35862	-0.16856023	LOC285016	
MGC26356	4.53E-02	1.24E-02	2.559723	-3.35912	0.13398124	MGC26356	
TARBP2	4.53E-02	1.24E-02	2.559721	-3.35912	0.08401347	TARBP2	
CXORF57	4.53E-02	1.24E-02	-2.55954	-3.35954	-0.23132233	CXORF57	
MEIS3P1	4.53E-02	1.24E-02	2.559459	-3.35973	0.20801563	MEIS3P1	
DSTYK	4.53E-02	1.24E-02	-2.559308	-3.36008	-0.1905039	DSTYK	
BCAT2	4.53E-02	1.24E-02	2.558991	-3.36082	0.18724475	BCAT2	
LOC400768	4.53E-02	1.25E-02	2.558757	-3.36137	0.03381098	LOC400768	
HS.28456	4.53E-02	1.25E-02	-2.558739	-3.36141	-0.04909542	HS.28456	
KCNE1L	4.54E-02	1.25E-02	-2.558416	-3.36216	-0.13419143	KCNE1L	
LOC100128288	4.55E-02	1.25E-02	2.557061	-3.36532	0.27197977	LOC100128288	
LOC645476	4.56E-02	1.25E-02	2.556375	-3.36691	0.03634946	LOC645476	
LOC729456	4.56E-02	1.25E-02	-2.556286	-3.36712	-0.04317466	LOC729456	
MICAL1	4.56E-02	1.25E-02	2.556162	-3.36741	0.17829275	MICAL1	
ANGEL1	4.56E-02	1.25E-02	2.556097	-3.36756	0.10971826	ANGEL1	
KRTAP3-2	4.56E-02	1.25E-02	2.556002	-3.36778	0.06079277	KRTAP3-2	
LOC651051	4.56E-02	1.25E-02	2.555913	-3.36799	0.03338664	LOC651051	
LOC100132702	4.56E-02	1.25E-02	-2.555913	-3.36799	-0.03535324	LOC100132702	
HS.110524	4.56E-02	1.25E-02	2.555905	-3.368	0.03339238	HS.110524	
C15ORF58	4.57E-02	1.26E-02	-2.555639	-3.36862	-0.05771897	C15ORF58	
LOC728553	4.57E-02	1.26E-02	2.555522	-3.3689	0.17481582	LOC728553	
MGC42630	4.57E-02	1.26E-02	2.555172	-3.36971	0.26605794	MGC42630	
GPR120	4.57E-02	1.26E-02	-2.555057	-3.36998	-0.03998804	GPR120	
GPD1L	4.57E-02	1.26E-02	-2.554907	-3.37033	-0.18652323	GPD1L	
IMPDH2	4.57E-02	1.26E-02	-2.554843	-3.37048	-0.12219387	IMPDH2	
KRR1	4.58E-02	1.26E-02	-2.554617	-3.371	-0.09729672	KRR1	
C14ORF1	4.58E-02	1.26E-02	2.55447	-3.37134	0.04758378	C14ORF1	
SLC16A8	4.58E-02	1.26E-02	-2.554442	-3.37141	-0.07242504	SLC16A8	
C2ORF66	4.58E-02	1.26E-02	-2.554338	-3.37165	-0.04543718	C2ORF66	
SEC63	4.58E-02	1.26E-02	2.553915	-3.37263	0.12114245	SEC63	
SARDH	4.58E-02	1.26E-02	-2.553802	-3.37289	-0.03752225	SARDH	
HS.443853	4.58E-02	1.26E-02	2.553665	-3.37321	0.0854925	HS.443853	
LRRC47	4.58E-02	1.26E-02	-2.55357	-3.37344	-0.16213104	LRRC47	
DPP7	4.59E-02	1.26E-02	2.553294	-3.37407	0.25751482	DPP7	
LOC440030	4.59E-02	1.26E-02	-2.553256	-3.37416	-0.04844347	LOC440030	
LOC389787	4.59E-02	1.26E-02	2.553214	-3.37426	0.30509868	LOC389787	
LOC100129588	4.59E-02	1.26E-02	2.553097	-3.37453	0.04414502	LOC100129588	
LOC100132015	4.59E-02	1.26E-02	2.55308	-3.37457	0.03038768	LOC100132015	
HS.309308	4.59E-02	1.26E-02	2.553004	-3.37475	0.03971986	HS.309308	
LOC644335	4.59E-02	1.26E-02	2.55298	-3.3748	0.04524027	LOC644335	
FOXP3	4.59E-02	1.27E-02	2.552684	-3.37549	0.04382318	FOXP3	
MRGPRD	4.59E-02	1.27E-02	-2.552528	-3.37586	-0.02799189	MRGPRD	
HS.155607	4.59E-02	1.27E-02	-2.552412	-3.37612	-0.120978	HS.155607	
IRX3	4.59E-02	1.27E-02	2.552289	-3.37641	0.29523164	IRX3	
OR2F1	4.60E-02	1.27E-02	-2.552025	-3.37703	-0.04125445	OR2F1	
OR56B4	4.60E-02	1.27E-02	-2.552021	-3.37703	-0.04033509	OR56B4	
LOC645307	4.60E-02	1.27E-02	-2.551696	-3.37779	-0.04198151	LOC645307	
PDHA2	4.60E-02	1.27E-02	2.551427	-3.37841	0.02491558	PDHA2	
LOC729742	4.60E-02	1.27E-02	2.551241	-3.37885	0.22366291	LOC729742	
KSR2	4.61E-02	1.27E-02	2.550584	-3.38037	0.07337155	KSR2	
LOC100133835	4.62E-02	1.27E-02	2.550215	-3.38123	0.02783882	LOC100133835	
PDE4DIP	4.63E-02	1.28E-02	2.549176	-3.38364	0.11207519	PDE4DIP	
PROS1	4.63E-02	1.28E-02	2.549034	-3.38397	0.27006076	PROS1	
LOC100133572	4.63E-02	1.28E-02	-2.548907	-3.38426	-0.09137622	LOC100133572	
PANK4	4.63E-02	1.28E-02	-2.548859	-3.38438	-0.14067985	PANK4	
SREBF2	4.63E-02	1.28E-02	2.548595	-3.38499	0.10557168	SREBF2	
MON1B	4.63E-02	1.28E-02	2.54842	-3.3854	0.07229301	MON1B	
LOC728744	4.63E-02	1.28E-02	2.54842	-3.3854	0.13576213	LOC728744	
GRN	4.64E-02	1.28E-02	2.54824	-3.38581	0.11060866	GRN	
C2CD4B	4.64E-02	1.28E-02	2.547895	-3.38661	0.12438579	C2CD4B	
LOC732450	4.64E-02	1.28E-02	2.547827	-3.38677	0.41315936	LOC732450	
MSRB2	4.64E-02	1.28E-02	2.547664	-3.38715	0.17608744	MSRB2	
ACAT2	4.64E-02	1.28E-02	-2.547581	-3.38734	-0.25621239	ACAT2	
HS.569182	4.64E-02	1.28E-02	2.547477	-3.38758	0.1473089	HS.569182	
KCNK18	4.64E-02	1.28E-02	-2.547363	-3.38785	-0.03246644	KCNK18	
ST6GALNAC4	4.64E-02	1.28E-02	2.547277	-3.38805	0.08740048	ST6GALNAC4	
PARD6B	4.64E-02	1.28E-02	-2.547176	-3.38828	-0.05376897	PARD6B	
ABCA7	4.65E-02	1.29E-02	2.54682	-3.38911	0.06861199	ABCA7	NA
MIRLET7G	4.65E-02	1.29E-02	2.546602	-3.38961	0.03327025	MIRLET7G	
GSN	4.65E-02	1.29E-02	2.546482	-3.38989	0.25935716	GSN	
USP4	4.65E-02	1.29E-02	-2.546247	-3.39044	-0.07699773	USP4	
LOC650621	4.66E-02	1.29E-02	2.545587	-3.39197	0.04986025	LOC650621	
CD1E	4.66E-02	1.29E-02	2.545562	-3.39202	0.12133118	CD1E	
RP11-49G10.8	4.67E-02	1.29E-02	2.545031	-3.39326	0.08846264	RP11-49G10.8	
