gene	mean	median	longest_isoform	merged
ENSG00000196220	2813	1676	8923	18864
ENSG00000078070	1436	1309	2874	4311
ENSG00000121579	1428	960	6112	6438
ENSG00000144550	1241	1169	2042	2313
ENSG00000185219	7638	5682	18314	18884
ENSG00000114857	2385	836	7964	17309
ENSG00000198843	1274	881	3437	4103
ENSG00000155903	1400	528	5638	6003
ENSG00000075651	1455	766	6015	9954
ENSG00000183662	1514	1917	1979	2880
ENSG00000113811	755	592	1497	2055
ENSG00000114650	1579	636	4254	6288
ENSG00000164054	1360	1297	2385	4338
ENSG00000154781	1601	1139	2940	3535
ENSG00000176945	1849	867	5053	6837
ENSG00000010318	1125	1132	2127	3364
ENSG00000178252	1706	618	4401	5304
ENSG00000163931	2035	1941	7286	9502
ENSG00000248487	846	802	1066	2313
ENSG00000180767	1917	1917	1917	1917
ENSG00000163507	2004	2014	4066	4579
ENSG00000113851	1728	945	5628	8052
ENSG00000242364	409	409	409	409
ENSG00000242741	993	1008	1173	1841
ENSG00000278554	286	286	286	286
ENSG00000239454	1371	1371	1371	1371
ENSG00000223738	2205	2205	2205	2205
ENSG00000213452	934	934	934	934
ENSG00000113805	2914	2914	5269	5430
ENSG00000241022	1083	1083	1083	1083
ENSG00000242638	295	295	295	295
ENSG00000266780	74	74	74	74
ENSG00000287398	790	790	790	790
ENSG00000213300	1006	1006	1006	1006
ENSG00000228868	1580	1580	1580	1580
ENSG00000249253	424	424	424	424
ENSG00000197980	1077	616	2881	5581
ENSG00000144843	2013	1499	4546	4615
ENSG00000174844	3589	2048	12145	13275
ENSG00000162267	1330	824	3038	5921
ENSG00000163882	852	823	1807	3154
ENSG00000182973	1119	703	2772	4846
ENSG00000173531	1272	859	4152	5084
ENSG00000188958	918	712	2385	3840
ENSG00000144741	2408	1936	8333	21792
ENSG00000206760	151	151	151	151
ENSG00000202363	153	153	153	153
ENSG00000286781	1432	1432	1432	1432
ENSG00000285885	1279	1279	1279	1279
ENSG00000230757	774	774	774	774
ENSG00000168314	1408	830	5675	9237
ENSG00000144893	3682	2890	10794	14345
ENSG00000181555	5168	5218	8541	14308
ENSG00000178084	1699	1699	1699	1699
ENSG00000233576	1057	1057	1057	1057
ENSG00000207351	113	113	113	113
ENSG00000238020	515	515	515	515
ENSG00000186038	1483	1410	2139	2523
ENSG00000205955	2192	2192	2192	2192
ENSG00000273181	620	620	620	620
ENSG00000272721	352	352	362	386
ENSG00000228205	732	732	732	732
ENSG00000161204	1143	722	2844	5135
ENSG00000168137	3232	3395	6931	24804
ENSG00000234371	805	805	895	1179
ENSG00000263932	86	86	86	86
ENSG00000233441	1073	1073	1456	1831
ENSG00000114770	2488	1848	5852	11365
ENSG00000223882	469	469	469	469
ENSG00000223529	1388	1388	1388	1388
ENSG00000186090	1446	1534	1674	2068
ENSG00000161202	1432	1005	5269	6302
ENSG00000161203	2248	1947	5143	6709
ENSG00000270141	541	541	541	541
ENSG00000277925	438	438	438	438
ENSG00000184378	1671	1671	1671	1671
ENSG00000269889	843	843	843	843
ENSG00000085274	3225	2833	4969	5165
ENSG00000269984	3143	3143	3143	3143
ENSG00000171757	1316	834	3787	5276
ENSG00000270135	472	472	472	472
ENSG00000270096	1252	1252	1252	1252
ENSG00000114248	2058	2034	2597	3125
ENSG00000240128	1281	1281	1281	1281
ENSG00000187033	2127	2376	2399	2512
ENSG00000244039	1232	1232	1232	1232
ENSG00000239219	2383	1391	6251	7977
ENSG00000244193	768	768	768	768
ENSG00000008952	1259	634	6526	7928
ENSG00000240373	346	346	346	346
ENSG00000173890	879	761	1962	4381
ENSG00000201342	129	129	129	129
ENSG00000242583	708	708	708	708
ENSG00000188306	2387	2387	2741	3213
ENSG00000164081	1246	1164	3937	5688
ENSG00000288063	1593	1593	1593	1593
ENSG00000201595	118	118	118	118
ENSG00000164082	2426	1987	6550	7098
ENSG00000214686	475	472	514	520
ENSG00000229972	694	524	1299	1832
ENSG00000230732	1413	1413	1413	1413
ENSG00000114503	1434	1096	4161	5111
ENSG00000225578	562	562	562	562
ENSG00000270170	870	870	870	870
ENSG00000119227	1544	1407	2688	3198
ENSG00000286017	1042	1042	1042	1042
ENSG00000233487	883	883	883	883
ENSG00000163602	4804	5077	7215	8477
ENSG00000196428	3881	930	11182	11704
ENSG00000206384	4606	4353	8689	8830
ENSG00000273328	1627	837	3605	3933
ENSG00000273291	695	639	950	1654
ENSG00000240747	1141	737	2566	2917
ENSG00000182983	2293	2200	5381	6352
ENSG00000206552	2134	2134	2134	2134
ENSG00000232375	331	331	331	331
ENSG00000227245	509	509	509	509
ENSG00000285766	701	701	701	701
ENSG00000163788	2337	1949	5188	6981
ENSG00000241939	305	305	305	305
ENSG00000234617	1370	1370	1990	2324
ENSG00000251811	120	120	120	120
ENSG00000223916	515	515	515	515
ENSG00000144649	2874	2887	5559	12406
ENSG00000144647	2966	2539	6127	6838
ENSG00000196639	2995	3348	4711	5581
ENSG00000285906	805	805	996	1000
ENSG00000213964	327	327	327	327
ENSG00000197548	1225	577	5333	8833
ENSG00000226621	258	258	258	258
ENSG00000235240	174	174	174	174
ENSG00000270531	268	268	268	268
ENSG00000144560	1092	747	3775	7199
ENSG00000271716	580	580	580	580
ENSG00000272483	596	596	596	596
ENSG00000228791	991	837	2257	7661
ENSG00000265028	74	74	74	74
ENSG00000233544	626	626	626	626
ENSG00000244404	298	298	298	298
ENSG00000201713	120	120	120	120
ENSG00000213877	486	486	486	486
ENSG00000201962	109	109	109	109
ENSG00000229421	339	339	339	339
ENSG00000077092	2512	2600	4897	9445
ENSG00000144815	3740	2193	8568	9474
ENSG00000249474	360	360	360	360
ENSG00000144802	1545	877	3923	5902
ENSG00000287682	1371	1371	1371	1371
ENSG00000214407	2051	2051	2051	2051
ENSG00000202177	109	109	109	109
ENSG00000241280	1197	1197	1888	2157
ENSG00000174173	1415	1415	1813	1882
ENSG00000066422	4097	4922	5657	8209
ENSG00000133657	5264	5336	8941	22838
ENSG00000244675	2969	2969	2969	2969
ENSG00000244730	330	330	330	330
ENSG00000187492	1055	841	2528	3201
ENSG00000185614	1033	1033	1033	1033
ENSG00000182179	932	654	3304	4550
ENSG00000283726	109	109	109	109
ENSG00000183763	883	820	2023	3261
ENSG00000164076	1587	1475	3157	3613
ENSG00000264706	286	286	286	286
ENSG00000234667	3959	3959	3959	3959
ENSG00000164078	2230	1626	4772	5252
ENSG00000230698	544	544	544	544
ENSG00000228008	462	422	600	921
ENSG00000164077	2099	2025	3905	6446
ENSG00000004534	1565	841	4324	7299
ENSG00000003756	1092	605	5616	10357
ENSG00000281691	1386	1386	1386	1386
ENSG00000235016	1660	1660	2755	2949
ENSG00000207922	94	94	94	94
ENSG00000114013	1396	1405	2720	3437
ENSG00000287977	1695	1695	1695	1695
ENSG00000036828	4385	4512	10062	12020
ENSG00000240236	1133	1133	1133	1133
ENSG00000121552	782	782	821	1366
ENSG00000160124	594	573	769	1746
ENSG00000114023	2931	3027	5957	11604
ENSG00000196981	4217	4217	4217	4217
ENSG00000242531	131	131	131	131
ENSG00000114030	2057	1452	6888	8498
ENSG00000275348	240	240	240	240
ENSG00000287207	1271	1271	1271	1271
ENSG00000138496	3028	3042	6769	8938
ENSG00000163840	3227	3227	5768	5768
ENSG00000173200	2469	1752	5002	5481
ENSG00000243918	1826	1826	1826	1826
ENSG00000125037	1400	1345	2353	4165
ENSG00000144867	1480	1202	2837	4190
ENSG00000244153	2769	2769	2769	2769
ENSG00000239445	2303	2230	5250	9390
ENSG00000249274	1006	1006	1006	1006
ENSG00000057019	1859	638	6128	11280
ENSG00000206712	107	107	107	107
ENSG00000207331	106	106	106	106
ENSG00000064225	1238	715	3571	6304
ENSG00000163820	3250	1805	8514	10329
ENSG00000214021	1602	759	5282	10415
ENSG00000244119	2407	1704	4797	5804
ENSG00000224237	203	203	203	203
ENSG00000207251	104	104	104	104
ENSG00000287348	1264	1264	1264	1264
ENSG00000227523	311	311	311	311
ENSG00000230807	371	371	371	371
ENSG00000201033	162	162	162	162
ENSG00000163491	2193	1429	8332	13183
ENSG00000158234	1111	927	3161	4072
ENSG00000151276	3126	2646	7851	11733
ENSG00000144559	1267	1057	2768	5925
ENSG00000065371	1171	1006	2056	4518
ENSG00000033867	4164	3800	8079	9616
ENSG00000163689	1643	890	4108	9455
ENSG00000114656	2212	1632	6034	12033
ENSG00000163673	3758	5344	5651	5779
ENSG00000160791	2325	2325	3358	3580
ENSG00000170364	1283	1508	2076	3237
ENSG00000283154	1269	699	2626	4712
ENSG00000121570	1334	946	3043	4967
ENSG00000145022	980	846	1930	2742
ENSG00000070087	997	778	2325	3608
ENSG00000179407	2738	2738	3365	3367
ENSG00000171121	2082	1228	7246	8964
ENSG00000288787	1154	1154	1154	1154
ENSG00000288979	1002	1002	1002	1002
ENSG00000288988	2184	2184	2184	2184
ENSG00000214145	1133	931	2880	4867
ENSG00000243701	1561	1099	5519	15322
ENSG00000289043	798	798	798	798
ENSG00000225764	792	807	842	1490
ENSG00000225790	1948	2271	3013	5278
ENSG00000289385	627	627	627	627
ENSG00000189229	1188	1133	2017	6378
ENSG00000289641	571	571	571	571
ENSG00000286329	1342	1342	2188	2468
ENSG00000229155	1091	1091	1394	1676
ENSG00000238097	1353	1184	2337	5099
ENSG00000289118	428	428	428	428
ENSG00000250934	1257	789	2848	5994
ENSG00000289420	1067	1067	1067	1067
ENSG00000289460	363	363	363	363
ENSG00000289358	1110	1110	1307	1786
ENSG00000239213	1517	1611	2304	5815
ENSG00000243273	610	610	656	986
ENSG00000289435	489	489	489	489
ENSG00000232065	461	461	461	461
ENSG00000243926	560	533	735	1325
ENSG00000272758	573	553	1152	2901
ENSG00000289069	625	625	625	625
ENSG00000288794	1536	1536	1536	1536
ENSG00000288969	1080	1080	1080	1080
ENSG00000289507	1319	1319	1319	1319
ENSG00000288972	810	810	810	810
ENSG00000289519	1142	1142	1142	1142
ENSG00000289233	1125	1125	1125	1125
ENSG00000289632	1366	1366	1366	1366
ENSG00000289504	2535	2535	2535	2535
ENSG00000289138	1651	1651	1651	1651
ENSG00000288780	2048	2048	2048	2048
ENSG00000289629	737	737	737	737
ENSG00000289574	1580	1580	1580	1580
ENSG00000289134	1217	1217	1217	1217
ENSG00000240138	1307	1307	1307	1307
ENSG00000243838	1315	1315	1315	1315
ENSG00000196542	1596	1307	3094	3739
ENSG00000240567	2845	2845	2845	2845
ENSG00000269888	248	248	248	248
ENSG00000234851	471	471	471	471
ENSG00000182447	1434	1434	1434	1434
ENSG00000156990	1082	961	2491	5307
ENSG00000228874	361	361	361	361
ENSG00000227578	778	778	778	778
ENSG00000177463	2486	1791	8419	11822
ENSG00000237645	481	481	481	481
ENSG00000289417	1308	1308	1308	1308
ENSG00000228213	641	641	815	815
ENSG00000252982	224	224	224	224
ENSG00000232601	344	344	344	344
ENSG00000213169	762	762	762	762
ENSG00000169760	3226	771	16241	17911
ENSG00000230524	2107	1793	4317	4566
ENSG00000285614	900	900	900	900
ENSG00000183185	3969	3969	4826	7285
ENSG00000250750	366	366	366	366
ENSG00000231362	156	156	156	156
ENSG00000132182	3450	3696	7206	13322
ENSG00000238138	105	105	105	105
ENSG00000223398	466	466	466	466
ENSG00000244502	515	515	515	515
ENSG00000163517	1126	799	2875	5231
ENSG00000163520	2105	584	4306	4818
ENSG00000114204	931	738	1514	2678
ENSG00000234742	555	555	555	555
ENSG00000114473	1267	769	3250	7468
ENSG00000199306	107	107	107	107
ENSG00000182899	586	559	1234	2899
ENSG00000201622	109	109	109	109
ENSG00000286755	1278	1278	1278	1278
ENSG00000232832	542	542	542	542
ENSG00000212297	107	107	107	107
ENSG00000232783	572	563	852	1155
ENSG00000213113	1058	1058	1058	1058
ENSG00000236246	775	775	775	775
ENSG00000236438	2543	1141	6083	7091
ENSG00000222792	104	104	104	104
ENSG00000230304	2729	2729	2729	2729
ENSG00000226008	183	183	183	183
ENSG00000185621	2509	724	7137	8692
ENSG00000114745	2629	2958	4813	8939
ENSG00000289446	1264	1264	1264	1264
ENSG00000119231	1715	765	6244	7035
ENSG00000163975	2606	2288	6745	14808
ENSG00000075711	3290	3795	5972	16552
ENSG00000289396	1463	1463	1463	1463
ENSG00000265850	71	71	71	71
ENSG00000227375	1285	1320	1694	2137
ENSG00000286870	1566	1566	1566	1566
ENSG00000163746	1073	1196	1441	2836
ENSG00000226441	311	311	311	311
ENSG00000285731	1360	1360	1360	1360
ENSG00000231780	306	306	306	306
ENSG00000227309	361	361	361	361
ENSG00000271841	63	63	63	63
ENSG00000233133	176	176	176	176
ENSG00000286352	465	465	465	465
ENSG00000213383	870	870	870	870
ENSG00000214286	715	715	715	715
ENSG00000226238	458	458	458	458
ENSG00000274840	323	323	339	339
ENSG00000131374	1277	591	7854	11269
ENSG00000201182	104	104	104	104
ENSG00000134086	3044	2835	4525	5001
ENSG00000157036	1257	1317	3076	5575
ENSG00000222883	90	90	90	90
ENSG00000240809	1411	1411	1411	1411
ENSG00000288793	1487	1487	1487	1487
ENSG00000199520	107	107	107	107
ENSG00000213450	847	847	847	847
ENSG00000287567	1012	1012	1012	1012
ENSG00000206891	104	104	104	104
ENSG00000185008	5544	5533	9570	16659
ENSG00000212327	103	103	103	103
ENSG00000179348	1531	1115	3798	4915
ENSG00000163702	1833	2163	2621	4535
ENSG00000288550	3501	3652	3839	4195
ENSG00000232287	584	584	584	584
ENSG00000172752	7174	8845	9226	9581
ENSG00000173402	3402	3441	5886	7187
ENSG00000280417	1957	1957	1957	1957
ENSG00000242142	809	809	809	809
ENSG00000163933	2172	1362	5081	5479
ENSG00000163932	1802	2172	2869	4909
ENSG00000179934	1281	1281	1484	1484
ENSG00000228168	961	961	961	961
ENSG00000238267	476	476	476	476
ENSG00000223668	1378	1378	1378	1378
ENSG00000144659	1095	820	2101	2662
ENSG00000289279	2072	2072	2072	2072
ENSG00000188086	927	927	927	927
ENSG00000168026	1705	909	4212	7701
ENSG00000284158	61	61	61	61
ENSG00000144655	2878	2878	3164	3230
ENSG00000284669	4975	4975	4975	4975
ENSG00000283849	1818	1818	1818	1818
ENSG00000214305	251	251	251	251
ENSG00000287620	1251	1251	1251	1251
ENSG00000168334	5032	6040	6461	6467
ENSG00000287995	1792	1792	1792	1792
ENSG00000215034	474	474	474	474
ENSG00000168329	2330	3128	3255	3656
ENSG00000270367	1936	1936	1936	1936
ENSG00000286689	1110	1110	1110	1110
ENSG00000131386	1637	693	5057	6398
ENSG00000285654	722	722	722	722
ENSG00000154813	2246	2115	4019	4476
ENSG00000154814	1962	1681	3983	6095
ENSG00000270739	1092	1092	1092	1092
ENSG00000271964	549	549	549	549
ENSG00000272498	564	564	564	564
ENSG00000272529	551	551	551	551
ENSG00000287377	1067	1067	1067	1067
ENSG00000224085	458	458	458	458
ENSG00000114120	1829	806	5809	10339
ENSG00000248773	393	393	393	393
ENSG00000251270	392	392	392	392
ENSG00000287155	512	512	512	512
ENSG00000241400	362	362	362	362
ENSG00000249540	322	322	322	322
ENSG00000251474	1146	702	2816	5168
ENSG00000163913	3260	3767	4860	23567
ENSG00000201570	142	142	142	142
ENSG00000265327	300	300	300	300
ENSG00000202517	134	134	134	134
ENSG00000114784	782	755	987	1889
ENSG00000230274	565	565	565	565
ENSG00000168032	1980	1749	3026	3586
ENSG00000188846	2106	794	7136	8626
ENSG00000177873	2649	2212	4841	5331
ENSG00000177842	1715	2022	3291	3783
ENSG00000199906	113	113	113	113
ENSG00000172888	2312	1538	8389	8943
ENSG00000234067	894	894	894	894
ENSG00000226845	1288	1288	1288	1288
ENSG00000226302	717	717	717	717
ENSG00000289169	900	900	900	900
ENSG00000229072	273	273	273	273
ENSG00000231873	629	629	759	1140
ENSG00000234287	255	255	255	255
ENSG00000287415	1925	1925	1925	1925
ENSG00000233096	670	670	670	670
ENSG00000233919	610	610	610	610
ENSG00000275256	196	196	196	196
ENSG00000168036	2839	3069	4888	11759
ENSG00000168038	1017	571	4294	6279
ENSG00000252409	166	166	166	166
ENSG00000222942	305	305	305	305
ENSG00000223513	245	245	245	245
ENSG00000251986	98	98	98	98
ENSG00000212145	143	143	143	143
ENSG00000234270	319	319	319	319
ENSG00000235339	715	715	715	715
ENSG00000182606	3374	4002	5536	10799
ENSG00000229339	514	514	514	514
ENSG00000234562	726	726	726	726
ENSG00000222872	126	126	126	126
ENSG00000187094	949	788	1504	2063
ENSG00000231280	1691	1691	1691	1691
ENSG00000229572	1780	1780	1780	1780
ENSG00000157093	795	838	909	1018
ENSG00000244681	1352	871	2595	2709
ENSG00000286516	902	902	902	902
ENSG00000271671	296	296	296	296
ENSG00000243547	1386	1386	1386	1386
ENSG00000278103	76	76	76	76
ENSG00000241815	747	747	747	747
ENSG00000199286	104	104	104	104
ENSG00000218754	528	528	528	528
ENSG00000241018	1487	1487	1487	1487
ENSG00000176243	739	739	739	739
ENSG00000286447	2431	2638	2646	3247
ENSG00000080224	3069	1582	16254	18310
ENSG00000251172	330	330	330	330
ENSG00000261292	2010	2010	2010	2010
ENSG00000282527	500	500	500	500
ENSG00000080200	4203	1252	10779	10979
ENSG00000279658	646	646	646	646
ENSG00000170854	1981	1225	5347	6880
ENSG00000213439	925	925	925	925
ENSG00000196578	930	930	930	930
ENSG00000289078	639	639	677	677
ENSG00000289509	696	580	990	990
ENSG00000197938	1566	1566	1566	1566
ENSG00000196098	966	966	966	966
ENSG00000206536	966	966	966	966
ENSG00000244653	814	814	814	814
ENSG00000286962	1527	1527	1527	1527
ENSG00000157103	3712	4145	6767	18242
ENSG00000287964	1109	1109	1441	2132
ENSG00000163527	1554	1074	4107	5006
ENSG00000144645	1260	576	7723	12243
ENSG00000232490	484	494	575	2307
ENSG00000223965	1386	1386	1386	1386
ENSG00000197385	1888	1888	3217	3379
ENSG00000235670	483	483	483	483
ENSG00000201701	128	128	128	128
ENSG00000252398	107	107	107	107
ENSG00000251590	834	834	834	834
ENSG00000152642	1556	621	3947	4697
ENSG00000236732	472	472	472	472
ENSG00000237433	881	881	881	881
ENSG00000270377	172	172	172	172
ENSG00000234737	1291	1291	1291	1291
ENSG00000172046	3956	4559	4755	5731
ENSG00000242770	459	459	592	770
ENSG00000206531	1259	1336	1603	1708
ENSG00000289742	163	163	163	163
ENSG00000163606	2152	1692	3765	3890
ENSG00000272844	707	707	707	707
ENSG00000163607	1277	1518	1921	3720
ENSG00000163608	1431	997	4820	6490
ENSG00000243483	425	425	425	425
ENSG00000241219	1076	1076	1253	1359
ENSG00000243795	2502	2502	2502	2502
ENSG00000240375	979	979	979	979
ENSG00000273394	566	566	566	566
ENSG00000184307	3140	3466	6346	7147
ENSG00000163617	1703	1397	3889	5284
ENSG00000270880	619	619	619	619
ENSG00000287805	262	262	262	262
ENSG00000285836	1325	1325	1325	1325
ENSG00000151576	1241	672	4023	8054
ENSG00000151577	2054	1557	2848	3251
ENSG00000172765	2306	549	6303	8617
ENSG00000202412	102	102	102	102
ENSG00000283509	100	100	100	100
ENSG00000203644	910	910	910	910
ENSG00000271270	1943	1671	4472	7705
ENSG00000250643	466	466	466	466
ENSG00000170893	1570	1570	1580	1592
ENSG00000248459	406	406	406	406
ENSG00000284731	219	219	219	219
ENSG00000249869	360	360	360	360
ENSG00000180770	968	968	968	968
ENSG00000251178	987	987	987	987
ENSG00000251610	328	328	328	328
ENSG00000251287	864	959	1008	1538
ENSG00000248243	713	713	713	713
ENSG00000249846	1199	1395	1732	4053
ENSG00000248618	241	241	241	241
ENSG00000250580	211	211	211	211
ENSG00000287045	2130	2130	3903	4209
ENSG00000144935	2903	4324	4561	4808
ENSG00000168028	1447	1109	3593	7689
ENSG00000061938	2254	1048	5940	12245
ENSG00000289747	867	867	867	867
ENSG00000289219	1117	1117	1117	1117
ENSG00000072274	3941	4706	6872	17376
ENSG00000178053	1534	1266	3048	3735
ENSG00000168827	2084	2006	6478	11789
ENSG00000079257	910	910	1071	1459
ENSG00000072756	2781	1967	7518	14503
ENSG00000169814	1876	1427	9964	17103
ENSG00000131368	3957	4173	8173	18309
ENSG00000289750	3331	3331	3577	4965
ENSG00000131381	1715	903	6678	7921
ENSG00000241946	161	161	161	161
ENSG00000163728	2190	836	7052	7900
ENSG00000284862	2854	2828	5052	10601
ENSG00000145075	2617	2617	4451	4978
ENSG00000243187	283	283	283	283
ENSG00000285336	1960	1960	2874	3101
ENSG00000242811	299	299	299	299
ENSG00000242068	1165	1165	1165	1165
ENSG00000241473	1069	1069	1069	1069
ENSG00000239516	1874	1874	1874	1874
ENSG00000213157	399	399	399	399
ENSG00000205981	1395	823	3748	4895
ENSG00000242140	231	231	231	231
ENSG00000206932	107	107	107	107
ENSG00000237806	401	401	401	401
ENSG00000114416	1757	866	8343	11874
ENSG00000114455	1643	1457	2666	3574
ENSG00000066405	2942	3355	3434	3715
ENSG00000272609	474	474	474	474
ENSG00000158163	1075	572	3492	5045
ENSG00000240668	1440	1440	1440	1440
ENSG00000118017	1779	1779	1779	1779
ENSG00000286396	118	118	118	118
ENSG00000138231	2170	2486	2766	5769
ENSG00000114098	1948	1714	4757	9843
ENSG00000181322	1209	825	2150	4119
ENSG00000071282	2119	1113	8284	9025
ENSG00000224884	561	561	561	561
ENSG00000125046	1484	1639	3219	6293
ENSG00000215160	3594	3594	6171	6210
ENSG00000182533	1120	1260	1422	1947
ENSG00000180914	1565	671	4387	4541
ENSG00000077097	3611	3429	7848	18645
ENSG00000172936	2612	2661	4102	4264
ENSG00000173230	5935	4516	11199	33764
ENSG00000244357	296	296	296	296
ENSG00000288720	4188	4552	5449	8660
ENSG00000163818	1979	1500	4113	9391
ENSG00000201635	112	112	112	112
ENSG00000157014	3106	3196	5342	5572
ENSG00000289763	198	198	198	198
ENSG00000058262	3270	3603	5354	11707
ENSG00000132155	2941	3032	7152	19732
ENSG00000175093	1457	1164	2963	3795
ENSG00000184100	1944	1944	1944	1944
ENSG00000121542	1311	716	4228	4704
ENSG00000273454	552	552	552	552
ENSG00000272678	391	391	391	391
ENSG00000173175	3196	3534	6643	9218
ENSG00000179796	2030	1551	6913	8954
ENSG00000176040	2151	2377	2827	3157
ENSG00000090539	1964	1252	4719	6639
ENSG00000225558	445	445	445	445
ENSG00000199594	104	104	104	104
ENSG00000224080	447	447	447	447
ENSG00000271993	628	628	628	628
ENSG00000231449	463	463	463	463
ENSG00000271653	1210	1210	1210	1210
ENSG00000230409	906	906	906	906
ENSG00000222208	118	118	118	118
ENSG00000144674	4648	5890	7858	10837
ENSG00000199327	104	104	104	104
ENSG00000264986	88	88	88	88
ENSG00000229048	470	470	470	470
ENSG00000243508	713	713	713	713
ENSG00000252953	64	64	64	64
ENSG00000287595	1542	1542	1636	1636
ENSG00000239268	775	696	1077	1531
ENSG00000225733	2452	1895	3818	6045
ENSG00000182568	2061	1000	7822	14786
ENSG00000163848	2808	2950	9514	13089
ENSG00000168811	1226	1283	1909	1955
ENSG00000173950	939	640	2714	5396
ENSG00000233303	431	431	431	431
ENSG00000265333	75	75	75	75
ENSG00000244314	276	276	276	276
ENSG00000206600	107	107	107	107
ENSG00000287005	1663	1663	1663	1663
ENSG00000114331	1377	758	7093	11066
ENSG00000229325	690	690	690	690
ENSG00000227433	367	367	367	367
ENSG00000207368	111	111	111	111
ENSG00000184203	1229	872	3386	5123
ENSG00000252620	135	135	135	135
ENSG00000223711	657	624	1081	1676
ENSG00000265882	252	252	252	252
ENSG00000236844	474	474	474	474
ENSG00000236425	366	366	366	366
ENSG00000189058	897	862	1210	2022
ENSG00000224769	1680	1680	1680	1680
ENSG00000113966	1491	1263	3988	4561
ENSG00000288029	3934	3934	3934	3934
ENSG00000242983	1045	1045	1045	1045
ENSG00000286353	2054	2054	2054	2054
ENSG00000157445	2316	2634	3789	4719
ENSG00000229806	432	432	432	432
ENSG00000265992	3140	3140	3140	3140
ENSG00000243715	2078	2078	2078	2078
ENSG00000144771	1366	1366	1414	1575
ENSG00000239991	429	429	429	429
ENSG00000243572	474	474	474	474
ENSG00000157388	3362	1789	9429	19199
ENSG00000144712	2554	2600	4676	5204
ENSG00000289809	650	650	650	650
ENSG00000232746	635	635	635	635
ENSG00000279673	1741	1741	1741	1741
ENSG00000246022	1851	2280	2377	2772
ENSG00000289828	696	696	696	696
ENSG00000289005	995	995	995	995
ENSG00000287706	802	490	1440	1781
ENSG00000288848	1330	1330	1330	1330
ENSG00000288926	1510	1510	1510	1510
ENSG00000288990	1027	1027	1027	1027
ENSG00000239828	811	651	2234	4811
ENSG00000240057	1026	884	2713	6885
ENSG00000243083	2073	1284	5536	8761
ENSG00000242337	835	572	1573	3032
ENSG00000289500	859	859	859	859
ENSG00000288806	1293	1293	1297	1976
ENSG00000280739	1790	1958	3930	19648
ENSG00000289885	618	618	618	618
ENSG00000235831	2201	2316	2696	5370
ENSG00000236869	699	838	908	1053
ENSG00000272360	1414	1414	1414	1414
ENSG00000288996	1245	1245	1245	1245
ENSG00000223930	1466	1405	3460	11321
ENSG00000228956	807	760	3394	16875
ENSG00000289063	903	903	903	903
ENSG00000288769	1113	1110	1400	1671
ENSG00000132967	926	926	1210	1210
ENSG00000287110	1362	933	2719	3591
ENSG00000289929	1178	1178	1178	1178
ENSG00000288896	812	812	812	812
ENSG00000289086	606	606	606	606
ENSG00000235978	510	445	916	2415
ENSG00000261572	1912	1912	1912	1912
ENSG00000287774	1436	1436	1762	2637
ENSG00000171084	1803	1900	2660	3189
ENSG00000231249	2043	1793	2863	2890
ENSG00000272554	885	885	962	1029
ENSG00000239462	444	444	494	693
ENSG00000288952	840	840	1201	1240
ENSG00000240602	1173	1266	1519	2095
ENSG00000243069	1631	1722	2730	10670
ENSG00000186162	1244	1130	1839	3055
ENSG00000253540	1189	1063	2513	4911
ENSG00000281392	2018	1450	4300	9733
ENSG00000223552	895	859	1220	2082
ENSG00000242242	948	803	1715	3537
ENSG00000289884	785	785	841	886
ENSG00000260236	2431	2431	2431	2431
ENSG00000285600	1984	1984	2779	3708
ENSG00000227398	2248	1804	4898	7637
ENSG00000270959	2864	2864	2864	2864
ENSG00000286585	788	826	1489	1616
ENSG00000242622	1156	975	1772	3554
ENSG00000289315	491	491	726	898
ENSG00000289409	679	679	679	679
ENSG00000289971	909	909	909	909
ENSG00000243176	1449	1282	3537	9241
ENSG00000240006	722	722	1150	1402
ENSG00000214135	1332	1310	2462	5255
ENSG00000243818	1562	1525	2651	5513
ENSG00000289324	1311	1311	1311	1311
ENSG00000240137	1848	617	5421	5773
ENSG00000242516	1331	1164	2126	6592
ENSG00000224957	2504	2311	4579	11853
ENSG00000272970	1424	1348	2300	3819
ENSG00000244227	1278	1319	2721	7737
ENSG00000289450	735	884	930	2537
ENSG00000239523	919	779	2978	5335
ENSG00000244128	1282	1075	3279	16208
ENSG00000231574	1502	1178	2957	4384
ENSG00000289986	1576	1576	1576	1576
ENSG00000226435	1512	1266	2897	3978
ENSG00000189366	935	889	1404	2190
ENSG00000244026	1434	1023	2502	4087
ENSG00000241684	2360	2261	3691	11126
ENSG00000224652	1433	1562	2059	2514
ENSG00000242808	1546	1040	4289	32836
ENSG00000289524	401	401	401	401
ENSG00000241163	1411	1367	3441	11287
ENSG00000290001	406	406	406	406
ENSG00000232352	430	430	541	541
ENSG00000243422	953	1079	1189	2190
ENSG00000289351	1004	1004	1004	1004
ENSG00000286584	751	884	944	1112
ENSG00000287958	2109	2109	2854	3976
ENSG00000288111	473	473	493	559
ENSG00000223797	1192	842	2284	6253
ENSG00000180385	840	564	2882	3722
ENSG00000290021	355	355	355	355
ENSG00000229619	3198	2589	6620	8263
ENSG00000240024	1210	1517	1667	2161
ENSG00000289165	496	496	547	553
ENSG00000281160	1493	1493	1493	1493
ENSG00000290035	1551	1551	1551	1551
ENSG00000288700	1791	1557	3753	7351
ENSG00000289558	913	913	913	913
